Position,Games,FantasyPoints,PlayerID,AvgFPPG
RB,13,109.0,khalil herbert0,8.384615384615385
QB,6,50.0,tyler huntley0,8.333333333333334
WR,15,124.0,gabriel davis0,8.266666666666667
QB,4,33.0,colt mccoy0,8.25
RB,17,140.0,aj dillon0,8.235294117647058
RB,17,140.0,jerick mckinnon0,8.235294117647058
RB,5,41.0,elijah mitchell0,8.2
RB,10,81.0,clyde edwards-helaire0,8.1
WR,14,113.0,jakobi meyers0,8.071428571428571
WR,17,137.0,d.k. metcalf0,8.058823529411764
RB,1,8.0,tyler badie0,8.0
WR,12,96.0,jahan dotson0,8.0
RB,15,120.0,antonio gibson0,8.0
WR,17,136.0,d.j. moore0,8.0
QB,2,16.0,kyle allen0,8.0
WR,15,119.0,chris godwin0,7.933333333333334
TE,15,118.0,mark andrews0,7.866666666666666
WR,17,133.0,garrett wilson0,7.823529411764706
WR,15,115.0,allen lazard0,7.666666666666667
QB,5,38.0,teddy bridgewater0,7.6
TE,17,129.0,t.j. hockenson0,7.588235294117647
WR,12,89.0,marquise brown0,7.416666666666667
RB,17,126.0,d'onta foreman0,7.411764705882353
QB,5,37.0,gardner minshew ii0,7.4
WR,16,118.0,michael pittman jr.0,7.375
WR,16,116.0,zay jones0,7.25
RB,12,87.0,kenyan drake0,7.25
RB,17,122.0,isiah pacheco0,7.176470588235294
TE,12,86.0,dallas goedert0,7.166666666666667
RB,11,78.0,james robinson0,7.090909090909091
WR,3,21.0,sterling shepard0,7.0
WR,1,7.0,ty montgomery0,7.0
TE,10,69.0,zach ertz0,6.9
WR,13,89.0,brandin cooks0,6.846153846153846
WR,16,109.0,tyler boyd0,6.8125
WR,17,115.0,george pickens0,6.764705882352941
RB,11,74.0,damien harris0,6.7272727272727275
WR,16,107.0,juju smith-schuster0,6.6875
WR,17,112.0,curtis samuel0,6.588235294117647
